Brand_Name,Policy_Name,Cashless_Hospitals,Coverage_Amount,Monthly_Premium,Annual_Premium,Claim_Settlement_Ratio,Links
Care Health,Care Advantage,15,20000000,3468,41611,93,https://www.insurancedekho.com/health-'insurance/quotes?request=6717dc58f560c1cc69c9cc22#features)
Care Health,Care Advantage with NCB,15,20000000,3594,43122,93,https://www.careinsurance.com/
Care Health,Care Advantage with Reduction In PED Waiting period,15,20000000,3468,41611,93,https://www.careinsurance.com/
Care Health,Care Advantage with Global Coverage Inc US,15,20000000,4070,48834,93,https://www.careinsurance.com/
Care Health,Care Advantage with Global Coverage Ex US,15,20000000,3468,41611,93,https://www.careinsurance.com/
Care Health,Care Advantage with Reduction In PED Waiting period and Global coverage Inc US,15,20000000,4070,48834,93,https://www.careinsurance.com/
Star Health,Assure Insurance Policy,16,20000000,2272,27263,85.8,https://www.starhealth.in/health-insurance/
Niva Bupa,Health Premia Platinum,16,20000000,5815,69780,92,https://www.nivabupa.com/health-insurance-plans.html
Aditya Birla,Activ One Max,14,20000000,1896,22756,96,https://www.adityabirlacapital.com/healthinsurance/homepage
Aditya Birla,Active Health Platinum - Enhanced,14,15000000,2156,25874,96,https://www.adityabirlacapital.com/healthinsurance/homepage
ICICI Lombard,Elevate + BeFit,12,30000000,2011,24136,99.8,https://www.icicilombard.com/health-insurance
ICICI Lombard,Health AdvantEdge Plus 2.0 With Befit,12,20000000,2873,34475,99.8,https://www.icicilombard.com/health-insurance
ICICI Lombard,Health AdvantEdge Plus 2.0 with Claim Protector and Befit,12,20000000,2873,34475,99.8,https://www.icicilombard.com/health-insurance
ICICI Lombard,Health AdvantEdge Plus 2.0 with Claim + SI Protector + Befit,12,20000000,2904,34846,99.8,https://www.icicilombard.com/health-insurance
ICICI Lombard,Health AdvantEdge Plus 2.0 With SI Protector and Befit,12,20000000,2904,34846,99.8,https://www.icicilombard.com/health-insurance
Manipal Cigna,Lifetime Health Global with World Wide Medical Emergency Cover of 100L,25,15000000,2518,30212,93.4,https://www.manipalcigna.com/health-insurance
Manipal Cigna,Lifetime Health India with World Wide Medical Emergency Cover of 50L,25,15000000,1332,15989,93.4,https://www.manipalcigna.com/health-insurance
Manipal Cigna,Lifetime Health India with World Wide Medical Emergency Cover of 100L,25,15000000,1351,16213,93.4,https://www.manipalcigna.com/health-insurance
Manipal Cigna,Lifetime Health India with World Wide Medical Emergency Cover of 25L,25,15000000,1326,15915,93.4,https://www.manipalcigna.com/health-insurance
Manipal Cigna,Lifetime Health Global with World Wide Medical Emergency Cover of 50L,25,15000000,2499,29989,93.4,https://www.manipalcigna.com/health-insurance
Manipal Cigna,Lifetime Health Global with World Wide Medical Emergency Cover of 25L,25,15000000,2493,29915,93.4,https://www.manipalcigna.com/health-insurance
Royal Sundaram,Lifeline Elite,15,15000000,6976,83717,92,https://www.royalsundaram.in/health-insurance/lifeline/
Care Health,Care Supreme Discounted + Wellness Benefit + Air Ambulance + NCB Super,15,10000000,1659,19908,93,https://www.careinsurance.com/
Care Health,Care Supreme Discounted (Quarterly) + Wellness Benefit + Air Ambulance + NCB Super,15,10000000,1709,"20,508",93,https://www.careinsurance.com/
Care Health,Care Advantage,15,10000000,1397,16761,93,https://www.careinsurance.com/
Care Health,Care Advantage with NCB,15,10000000,1501,18017,93,https://www.careinsurance.com/
Care Health,Care Advantage with Reduction In PED Waiting period,15,10000000,1397,16761,93,https://www.careinsurance.com/
Care Health,Care Advantage with Global Coverage Inc US,15,10000000,2470,29642,93,https://www.careinsurance.com/
Care Health,Care Advantage with Global Coverage Ex US,15,10000000,2189,26267,93,https://www.careinsurance.com/
Care Health,Care Advantage with Reduction In PED Waiting period and Global coverage Inc US,15,10000000,2470,29642,93,https://www.careinsurance.com/
Star Health,Young Star Silver,16,10000000,1936,23231,85.8,https://www.starhealth.in/health-insurance/
Star Health,Young Star Gold,16,10000000,2048,24579,85.8,https://www.starhealth.in/health-insurance/
Star Health,Assure Insurance Policy,16,10000000,2045,24536,85.8,https://www.starhealth.in/health-insurance/
Star Health,Comprehensive Individual,16,10000000,2213,26556,85.8,https://www.starhealth.in/health-insurance/
Star Health,Comprehensive with PED Buy Back,16,10000000,2877,34523,85.8,https://www.starhealth.in/health-insurance/
Star Health,Smart Health Pro,16,10000000,1590,19081,85.8,https://www.starhealth.in/health-insurance/
Niva Bupa,Reassure 2.0 Platinum+ (Direct),16,10000000,2299,27584,92,https://www.nivabupa.com/health-insurance-plans.html
Niva Bupa,Reassure 2.0 Titanium+ (Direct),16,10000000,2356,28266,92,https://www.nivabupa.com/health-insurance-plans.html
Niva Bupa,Reassure 2.0 Bronze+(Direct),16,10000000,2158,25894,92,https://www.nivabupa.com/health-insurance-plans.html
Niva Bupa,Aspire Gold + (Direct),16,10000000,1803,21638,92,https://www.nivabupa.com/health-insurance-plans.html
Niva Bupa,Aspire Diamond + (Direct),16,10000000,2031,24377,92,https://www.nivabupa.com/health-insurance-plans.html
Niva Bupa,Aspire Platinum + (Direct),16,10000000,2236,26833,92,https://www.nivabupa.com/health-insurance-plans.html
Niva Bupa,Aspire Titanium + (Direct),16,10000000,2250,27000,92,https://www.nivabupa.com/health-insurance-plans.html
Niva Bupa,Health Companion,16,10000000,2594,31130,92,https://www.nivabupa.com/health-insurance-plans.html
Niva Bupa,Health Companion + Safeguard,16,10000000,2789,33465,92,https://www.nivabupa.com/health-insurance-plans.html
Niva Bupa,Health Premia Platinum,16,10000000,5302,63627,92,https://www.nivabupa.com/health-insurance-plans.html
Aditya Birla,Activ One Max,14,10000000,1679,20142,96,https://www.adityabirlacapital.com/healthinsurance/homepage
Aditya Birla,Active Health Platinum - Enhanced,14,10000000,2015,24182,96,https://www.adityabirlacapital.com/healthinsurance/homepage
ICICI Lombard,Elevate + BeFit,12,10000000,1670,20039,99.8,https://www.icicilombard.com/health-insurance
