Brand_Name,Policy_Name,Cashless_Hospitals,Coverage_Amount,Monthly_Premium,Annual_Premium,Claim_Settlement_Ratio
Care Health,Care Advantage,15,₹2 Cr,"₹3,468/month","₹41,611 / Year",93 % claim settlement ratio
Care Health,Care Advantage with NCB,15,₹2 Cr,"₹3,594/month","₹43,122 / Year",93 % claim settlement ratio
Care Health,Care Advantage with Reduction In PED Waiting period,15,₹2 Cr,"₹3,468/month","₹41,611 / Year",93 % claim settlement ratio
Care Health,Care Advantage with Global Coverage Inc US,15,₹2 Cr,"₹4,070/month","₹48,834 / Year",93 % claim settlement ratio
Care Health,Care Advantage with Global Coverage Ex US,15,₹2 Cr,"₹3,468/month","₹41,611 / Year",93 % claim settlement ratio
Care Health,Care Advantage with Reduction In PED Waiting period and Global coverage Inc US,15,₹2 Cr,"₹4,070/month","₹48,834 / Year",93 % claim settlement ratio
Star Health,Assure Insurance Policy,16,₹2 Cr,"₹2,272/month","₹27,263 / Year",85.80 % claim settlement ratio
Niva Bupa,Health Premia Platinum,16,₹2 Cr,"₹5,815/month","₹69,780 / Year",92 % claim settlement ratio
Aditya Birla,Activ One Max,14,₹2 Cr,"₹1,896/month","₹22,756 / Year",96 % claim settlement ratio
Aditya Birla,Active Health Platinum - Enhanced,14,₹1.5 Cr,"₹2,156/month","₹25,874 / Year",96 % claim settlement ratio
ICICI Lombard,Elevate + BeFit,12,₹3 Cr,"₹2,011/month","₹24,136 / Year",99.80 % claim settlement ratio
ICICI Lombard,Health AdvantEdge Plus 2.0 With Befit,12,₹2 Cr,"₹2,873/month","₹34,475 / Year",99.80 % claim settlement ratio
ICICI Lombard,Health AdvantEdge Plus 2.0 with Claim Protector and Befit,12,₹2 Cr,"₹2,873/month","₹34,475 / Year",99.80 % claim settlement ratio
ICICI Lombard,Health AdvantEdge Plus 2.0 with Claim + SI Protector + Befit,12,₹2 Cr,"₹2,904/month","₹34,846 / Year",99.80 % claim settlement ratio
ICICI Lombard,Health AdvantEdge Plus 2.0 With SI Protector and Befit,12,₹2 Cr,"₹2,904/month","₹34,846 / Year",99.80 % claim settlement ratio
Manipal Cigna,Lifetime Health Global with World Wide Medical Emergency Cover of 100L,25,₹1.5 Cr,"₹2,518/month","₹30,212 / Year",93.4 % claim settlement ratio
Manipal Cigna,Lifetime Health India with World Wide Medical Emergency Cover of 50L,25,₹1.5 Cr,"₹1,332/month","₹15,989 / Year",93.4 % claim settlement ratio
Manipal Cigna,Lifetime Health India with World Wide Medical Emergency Cover of 100L,25,₹1.5 Cr,"₹1,351/month","₹16,213 / Year",93.4 % claim settlement ratio
Manipal Cigna,Lifetime Health India with World Wide Medical Emergency Cover of 25L,25,₹1.5 Cr,"₹1,326/month","₹15,915 / Year",93.4 % claim settlement ratio
Manipal Cigna,Lifetime Health Global with World Wide Medical Emergency Cover of 50L,25,₹1.5 Cr,"₹2,499/month","₹29,989 / Year",93.4 % claim settlement ratio
Manipal Cigna,Lifetime Health Global with World Wide Medical Emergency Cover of 25L,25,₹1.5 Cr,"₹2,493/month","₹29,915 / Year",93.4 % claim settlement ratio
Royal Sundaram,Lifeline Elite,15,₹1.5 Cr,"₹6,976/month","₹83,717 / Year",92 % claim settlement ratio
Care Health,Care Supreme Discounted + Wellness Benefit + Air Ambulance + NCB Super,15,₹1 Cr,"₹1,659/month","₹19,908 / Year",93 % claim settlement ratio
Care Health,Care Supreme Discounted (Quarterly) + Wellness Benefit + Air Ambulance + NCB Super,15,₹1 Cr,"₹1,709/month","₹5,128 for 3 months",93 % claim settlement ratio
Care Health,Care Advantage,15,₹1 Cr,"₹1,397/month","₹16,761 / Year",93 % claim settlement ratio
Care Health,Care Advantage with NCB,15,₹1 Cr,"₹1,501/month","₹18,017 / Year",93 % claim settlement ratio
Care Health,Care Advantage with Reduction In PED Waiting period,15,₹1 Cr,"₹1,397/month","₹16,761 / Year",93 % claim settlement ratio
Care Health,Care Advantage with Global Coverage Inc US,15,₹1 Cr,"₹2,470/month","₹29,642 / Year",93 % claim settlement ratio
Care Health,Care Advantage with Global Coverage Ex US,15,₹1 Cr,"₹2,189/month","₹26,267 / Year",93 % claim settlement ratio
